25;Sojabønner
543;Grøntsager, andre (drivhus)
42;Hamp
24;Solsikke
654;Rucolafrø
706;Grønkorn af vinterbyg
661;Kørvelfrø
10;Vinterbyg
548;Småplanter, en-årige
308;MFO-Slåningsbrak
430;Bladpersille
921;Bar jord
273;Lucerne til fabrik
17;Blanding af efterårssåede kornarter
14;Vinterrug
411;Løg
592;Pil
423;Sukkermajs
653;Karsefrø
504;Solbær, stiklingeopformering
125;Bederoefrø
581;Nyplantning i skov med træhøjde under 3 m
497;Planteskolekulturer, vedplanter, til videresalg
501;Stauder
509;Trækvæde
325;MFO-Blomsterbrak
493;Surbær
211;Vårhvede, helsæd
279;Permanent græs til fabrik
282;Fodermarvkål
583;Juletræer og pyntegrønt på landbrugsjord
252;Permanent græs, normalt udbytte
545;Potteplanter
547;Planteskolekulturer, stauder
402;Bladselleri
903;Lysåbne arealer i skov
407;Gulerod
664;Skorzonerrod/skorzonerrodfrø
580;Skovdrift, alm.
318;MVJ ej udtagning, ej landbrugsareal
16;Vintertriticale
422;Spinat
124;Spinatfrø
260;Græs med kløver/lucerne, under 50 % bælgpl. (omdrift)
122;Kommenfrø
360;Vildtafgrøder
170;Græs til fabrik (omdrift)
261;Kløvergræs, over 50% kløver (omdrift)
284;Græs med vikke og andre bælgplanter, under 50 % bælgpl.
704;Grønkorn af vårrug
361;Ikke støtteberettiget landbrugsareal
220;Vinterbyg, helsæd
531;Anden træfrugt
587;Skovrejsning på tidl. landbrugsjord 3
286;Permanent græs og kløvergræs uden norm, over 50 % kløver
102;Rajgræsfrø, alm. 1. år, efterårsudlagt
221;Vinterhvede, helsæd
174;Kløvergræs til fabrik
223;Vintertriticale, helsæd
489;Havtorn
507;Hindbær, stiklingeopformering
597;Rørgræs
491;Storfrugtet tranebær
281;Kålroer
705;Grønkorn af vårtriticale
487;Skovlandbrug
591;Lavskov
280;Fodersukkerroer
518;Hindbær
248;Permanent græs ved vandboring
532;Anden buskfrugt
259;Permanent græs, fabrik, over 6 tons
110;Svingelfrø, stivbladet
120;Kløverfrø
662;Majroefrø
589;Bæredygtig skovdrift
421;Savoykål, spidskål
162;Blanding, andre industriafgr.
429;Jordskokker, konsum
517;Brombær
270;Græs til udegrise, omdrift
104;Rajgræsfrø, ital. 1. år efterårsudlagt
5;Majs til modenhed
521;Surkirsebær med undervækst af græs
403;Blomkål
424;Ærter, konsum
254;Miljøgræs MVJ-tilsagn (0 N), permanent
268;Græs under 50% kløver/lucerne, lavt udbytte (omdrift)
541;Agurker
404;Broccoli
553;Centnergræskar
514;Solbær
707;Grønkorn af vinterhvede
515;Ribs
657;Grønkålfrø
519;Blåbær
527;Hassel
525;Sødkirsebær med undervækst af græs
317;Vådområder med udtagning
253;Miljøgræs MVJ-tilsagn (80 N), omdrift
287;Græs til udegrise, permanent
182;Blanding af oliearter
406;Grønkål
920;Økologisk sommerbrak
278;Permanent lucerne og lucernegræs over 50% lucerne
530;Vindrue
400;Asier
594;El
309;Udyrket areal ved vandboring
578;Skovrejsning  forbedring af vandmiljø og grundvandsbeskyttelse
257;Permanent græs, uden kløver
111;Svingelfrø, strand-
316;Udtagning med fastholdelse, ej landbrugsareal
709;Grønkorn af vinterrug
513;Jordbær
534;Hyben
126;Blanding af markfrø til udsæd
585;Skovrejsning i projektområde, som ikke er omfattet af tilsagn
582;Pyntegrønt, økologisk jordbrug
171;Lucerne, slæt
101;Rajgræsfrø, alm.
659;Kålfrø (hvid- og rødkål)
516;Stikkelsbær
4;Blanding af vårsåede kornarter
118;Rajsvingelfrø, efterårsudlagt
401;Asparges
418;Rødkål
115;Hvenefrø, alm. og krybende
496;Medicinpl., vedplanter
596;Elefantgræs
15;Vinterhybridrug
22;Vinterraps
552;Mandelgræskar
271;Rekreative formål
32;Sødlupin
502;Blomsterløg
900;Øvrige afgrøder
116;Rajgræs, hybrid
905;Anden anvendelse på tilsagnsarealer
103;Rajgræsfrø, ital.
230;Blanding af vårkorn, grønkorn
222;Vinterrug, helsæd
214;Korn og bælgsæd, helsæd, under 50% bælgsæd
415;Porre
7;Korn + bælgsæd under 50% bælgsæd
313;20-årig udtagning af agerjord med frivillig skovrejsning
536;Spisedruer
52;Quinoa
11;Vinterhvede
152;Kartofler, spise-
NULL;NULL
416;Rosenkål
123;Valmuefrø
326;Ej landbrug, MSO, omlagt fra permanent græs
417;Rødbede
701;Grønkorn af vårbyg
113;Engrapsgræsfrø (plænetype)
542;Salat (drivhus)
540;Tomater
234;Korn og bælgsæd, grønkorn, under 50% bælgsæd
107;Engsvingelfrø
36;Bælgsæd, andre typer til modenhed blanding
267;Græs under 50% kløver/lucerne, meget lavt udbytte (omdrift)
172;Lucernegræs, over 25% græs til slæt inkl. eget foder
117;Rajgræs, efterårsudl. hybrid
264;Græs og kløvergræs uden norm, under 50 % kløver (omdrift)
702;Grønkron af vårhvede
251;Permanent græs, lavt udbytte
114;Rapgræsfrø, alm.
306;Græs i omdrift, uden udbetaling af økologi-tilskud
523;Blomme med undervækst af græs
247;Miljøgræs MVJ-tilsagn (0 N), omdrift
655;Radisefrø (inklusiv olieræddikefrø)
593;Poppel
529;Pærer
603;MFO - Poppel
526;Hyld
35;Bælgsæd, flerårig blanding
160;Sukkerroer til fabrik
311;Skovrejsning på tidl. landbrugsjord 1
57;Vinterhavre
508;Andre af slægten Vaccinium
319;MFO-brak, Udtagning, ej landbrugsareal
432;Krydderurter (undtagen persille og purløg)
249;Udnyttet græs ved vandboring
520;Surkirsebær uden undervækst af græs
1;Vårbyg
570;Humle
312;20-årig udtagning
522;Blomme uden undervækst af græs
413;Rodpersille
549;Lukket system 1, en-årige
551;Moskusgræskar
55;Vårrug
161;Cikorierødder
512;Rabarber
2;Vårhvede
590;Bæredygtig skovdrift i Natura 2000-område
703;Grønkorn af vårhavre
412;Pastinak
305;Permanent græs, uden udbetaling af økologi-tilskud
666;Purløgsfrø
109;Rajsvingelfrø
602;MFO - Pil
667;Timianfrø
550;Lukket system 2, stauder
40;Oliehør
277;Kløver til fabrik
488;Hønsegård, permanent græs
121;Græsmarksbælgplanter
539;Blandet frugt
563;Svampe, champignon
323;MFO-udyrket areal ved vandboring
660;Persillefrø
262;Lucerne, lucernegræs, over 50% lucerne (omdrift)
321;Miljøtiltag, ej landbrugsarealer
528;Æbler
314;20-årig udtagning med tilsagn om skovrejsning fra NST
269;Græs, rullegræs
656;Bladbedefrø, rødbedefrø
588;Statslig skovrejsning
564;Containerplads
149;Kartofler, lægge- (certificerede)
405;Courgette, squash
263;Græs uden kløvergræs (omdrift)
324;Blomsterbrak
256;Permanent kløvergræs, over 50% kløver/lucerne
711;Grønkorn af vintertriticale
533;Rønnebær
431;Purløg
210;Vårbyg, helsæd
212;Vårhavre, helsæd
420;Salat (friland)
215;Ærtehelsæd
3;Vårhavre
410;Knoldselleri
250;Permanent græs, meget lavt udbytte
274;Permanent lucernegræs over 25% græs, til fabrik
651;Dildfrø
150;Kartofler, lægge- (egen opformering)
51;Blanding bredbladet afgrøde, frø/kerne
579;Tagetes, sygdomssanerende plante
258;Permanent græs, ø-støtte
13;Vinterhvede, brødhvede
21;Vårraps
285;Græs og kløvergræs uden norm, over 50 % kløver (omdrift)
53;Boghvede
255;Permanent græs, under 50% kløver/lucerne
408;Hvidkål
54;Bælgsæd blanding
604;MFO - El
409;Kinakål
276;Permanent græs og kløvergræs uden norm, under 50 % kløver
173;Kløver til slæt
235;Blanding af vinterkorn, grønkorn
266;Græs under 50% kløver/lucerne, ekstremt lavt udbytte (omdrift)
216;Silomajs
908;Naturarealer, ansøgning om miljøtilsagn
310;Slåningsbrak
151;Kartofler, stivelses-
108;Rødsvingelfrø
605;MFO - Lavskov
658;Gulerodsfrø
650;Chrysanthemum Garland, frø
907;Naturarealer, økologisk jordbrug
283;Fodergulerødder
6;Vårhvede, brødhvede
180;Gul sennep
668;Blomsterfrø
448;Medicinpl., en- og toårige
112;Engrapgræsfrø (marktype)
450;Grøntsager, blandinger
524;Sødkirsebær uden undervækst af græs
105;Timothefrø
30;Ærter
213;Blandkorn, vårsået, helsæd
106;Hundegræsfrø
153;Kartofler, andre
544;Snitblomster og snitgrønt
586;Offentlig skovrejsning
503;En- og to-årige planter
31;Hestebønner
56;Vårtriticale
224;Blandkorn, efterårssået helsæd
652;Kinesisk kålfrø
434;Grøntsager, andre (friland)
